# RELEASE GROUPS    STARTING LENGTH    NUMBER INTERVALS    INTERVAL LENGTH
        54            2                54                2
#
#
# TAG RECOVERIES
#    1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54
     8  28   4  15  35 131  19  80 119  82  20 143 176 111 301 177 197 103  15   0 129  40 118  71 119 110 123 136  94 142 149 105 113 127  65  25  65  68   3   0   2   0  74   4  24 150   0  55  74   5   4  75   0   0
#
#
#---------------------------------
#   1 - RELEASE REGION    YEAR    MONTH
        50             7         1989             11            2
        50             7         1990              8            1
        50             8         1989             11            1
        50             9         1989              8           17
        50             9         1989             11            8
        50             9         1990              2            3
        52             7         1989              8           20
        52             7         1989             11           19
        52             7         1990              2            1
        52             7         1990              5            1
        52             7         1990              8            3
        52             7         1990             11            1
        52             9         1989              8           55
        52             9         1989             11           22
        52             9         1990              2            7
        52             9         1990              5            5
        52             9         1990              8            1
        52             9         1990             11            1
        52             9         1991             11            1
        52            16         1990              8            2
        54             5         1990              2            1
        54             7         1989              8           35
        54             7         1989             11           20
        54             7         1990              8            2
        54             7         1991              2            1
        54             9         1989              8           66
        54             9         1989             11           29
        54             9         1990              2            6
        54             9         1990              5            2
        54             9         1990              8            1
        54             9         1990             11            2
        54             9         1991              5            1
        56             5         1990              2            1
        56             7         1989              8           20
        56             7         1989             11           10
        56             7         1990              5            2
        56             7         1990              8            2
        56             7         1990             11            1
        56             8         1990              5            1
        56             9         1989              8           48
        56             9         1989             11           18
        56             9         1990              2            2
        56             9         1990              5            1
        56             9         1990              8            1
        56             9         1990             11            2
        58             7         1989              8           24
        58             7         1989             11           10
        58             7         1990              8            2
        58             7         1991              8            1
        58             9         1989              8           22
        58             9         1989             11            5
        58             9         1990              2            1
        60             7         1989              8           10
        60             7         1989             11            1
        60             9         1989              8            6
        60             9         1989             11            2
        60             9         1990              8            1
        62             7         1989              8            2
        62             7         1989             11            2
        62             9         1989              8            4
        62             9         1989             11            2
        64             7         1989              8            1
        64             7         1989             11            1
#
#
#---------------------------------
#  11 - RELEASE REGION    YEAR    MONTH
             2         1989       11
0 0 0 0 0 0 0 0 0 0 0 1 4 8 17 4 16 17 8 6 1 76 134 46 18 56 77 63 34 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        34             9         1990              2            2
        36             9         1990              2            3
        38             9         1990              2            1
        44             8         1990              8            1
        44             9         1990              2            6
        44             9         1990              5            2
        46             9         1990              2            5
        46             9         1990              5            2
        46             9         1990              8            1
        46             9         1990             11            1
        46            16         1990              8            1
        48             9         1990              2            3
        48             9         1990              8            2
        50             9         1990              2            2
        52            16         1990              8            2
        54             7         1990              5            1
        54             9         1990              5            1
        56             9         1989             11            1
        56             9         1990              2            1
        58             9         1990              2            1
#
#
#---------------------------------
#  12 - RELEASE REGION    YEAR    MONTH
             2         1990        2
0 0 0 0 0 0 0 0 0 0 0 5 10 10 13 115 430 527 586 575 586 1376 1326 713 205 78 82 72 110 67 35 52 32 18 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        32             8         1990              8            1
        32             9         1990              2            3
        32             9         1990              5            2
        34             9         1990              2            4
        34             9         1990              5            3
        34             9         1990             11            1
        34             9         1991              2            1
        36             7         1990              2            1
        36             7         1990              5            2
        36             7         1990              8            2
        36             7         1990             11            2
        36             7         1991              2            1
        36             7         1991              5            1
        36             8         1990              5            1
        36             8         1992              2            1
        36             9         1990              2            9
        36             9         1990              5            5
        36             9         1990             11            2
        36             9         1991             11            1
        38             7         1990              5            1
        38             7         1990              8            1
        38             7         1990             11            2
        38             8         1990              8            2
        38             9         1990              2            9
        38             9         1990              5            8
        38             9         1990              8            4
        38             9         1990             11            3
        38             9         1991              2            2
        38            16         1991              5            1
        38            17         1991             11            1
        40             5         1990             11            1
        40             7         1990              5            1
        40             7         1990              8            2
        40             7         1991             11            1
        40             8         1990              8            2
        40             9         1990              2            7
        40             9         1990              5           10
        40             9         1990              8            5
        40             9         1991              8            1
        40            16         1991              8            1
        42             7         1990              8            2
        42             7         1990             11            1
        42             7         1991              2            1
        42             7         1991             11            1
        42             8         1990              2            1
        42             8         1990              8            1
        42             9         1990              2            6
        42             9         1990              5           12
        42             9         1990              8            8
        42             9         1990             11            1
        42             9         1991              5            1
        42            16         1990              8            1
        42            16         1991              8            1
        42            16         1991             11            1
        44             7         1990              8            5
        44             7         1991              5            2
        44             7         1992              5            1
        44             8         1990              5            2
        44             8         1990              8            1
        44             8         1991             11            2
        44             9         1990              2           17
        44             9         1990              5           51
        44             9         1990              8           19
        44             9         1990             11            5
        44             9         1991              2            3
        44             9         1991              5            3
        44             9         1991              8            1
        44             9         1991             11            1
        44            11         1990              8            1
        44            11         1991              5            1
        44            16         1990              5            1
        44            16         1990              8            1
        44            16         1991              5            1
        46             7         1990              2            1
        46             7         1990              8            5
        46             7         1990             11            1
        46             8         1990              2            1
        46             8         1990              5            3
        46             8         1990              8            2
        46             8         1991              5            1
        46             9         1990              2           22
        46             9         1990              5           41
        46             9         1990              8           15
        46             9         1990             11            5
        46             9         1991              2            3
        46             9         1991              5            3
        46             9         1991             11            1
        46             9         1992             11            1
